beta,day,prop_infected
0.12,62,0.00023233395205873386
0.12,63,0.00022688525311478095
0.12,64,0.00022156358182474442
0.12,65,0.00021636601188439414
0.12,66,0.00021128968276386056
0.12,67,0.00020633179830606253
0.12,68,0.0002014896253513384
0.12,69,0.00019676049238797263
0.12,70,0.0001921417882283037
0.12,71,0.0001876309607100927
0.12,72,0.0001832255154228275
0.12,73,0.00017892301445863296
0.12,74,0.0001747210751874533
0.12,75,0.00017061736905617022
0.12,76,0.00016660962041131744
0.12,77,0.00016269560534505016
0.12,78,0.00015887315056402657
0.12,79,0.0001551401322808572
0.12,80,0.00015149447512777714
0.12,81,0.00014793415109219614
0.12,82,0.00014445717847378145
0.12,83,0.00014106162086272868
0.12,84,0.0001377455861388768
0.12,85,0.00013450722549132447
0.12,86,0.00013134473245820637
0.12,87,0.00012825634198628932
0.12,88,0.0001252403295100506
0.12,89,0.00012229501004990253
0.12,90,0.00011941873732922941
0.12,91,0.00011660990290990635
0.12,92,0.00011386693534597114
0.12,93,0.00011118829935512388
0.12,94,0.00010857249500773196
0.12,95,0.00010601805693302085
0.12,96,0.00010352355354213474
0.12,97,0.00010108758626775443
0.12,98,9.870878881996306e-05
0.12,99,9.638582645805436e-05
0.14,0,0.001
0.14,1,0.0009970028571428572
0.14,2,0.0009939951754362765
0.14,3,0.000990977165299407
0.14,4,0.000987949036751045
0.14,5,0.000984910999384358
0.14,6,0.0009818632623419105
0.14,7,0.0009788060342909967
0.14,8,0.000975739523399281
0.14,9,0.0009726639373107516
0.14,10,0.0009695794831219875
0.14,11,0.000966486367358744
0.14,12,0.0009633847959528577
0.14,13,0.0009602749742194734
0.14,14,0.0009571571068345963
0.14,15,0.0009540313978129708
0.14,16,0.0009508980504862876
0.14,17,0.0009477572674817225
0.14,18,0.0009446092507008063
0.14,19,0.00094145420129863
0.14,20,0.0009382923196633852
0.14,21,0.0009351238053962413
0.14,22,0.0009319488572915608
0.14,23,0.0009287676733174548
0.14,24,0.0009255804505966781
0.14,25,0.0009223873853878661
0.14,26,0.0009191886730671135
0.14,27,0.0009159845081098959
0.14,28,0.0009127750840733349
0.14,29,0.0009095605935788068
0.14,30,0.0009063412282948949
0.14,31,0.0009031171789206873
0.14,32,0.0008998886351694177
0.14,33,0.0008966557857524513
0.14,34,0.0008934188183636153
0.14,35,0.0008901779196638723
0.14,36,0.0008869332752663389
0.14,37,0.0008836850697216461
0.14,38,0.0008804334865036437
0.14,39,0.0008771787079954458
0.14,40,0.000873920915475819
0.14,41,0.0008706602891059094
0.14,42,0.0008673970079163114
0.14,43,0.000864131249794473
0.14,44,0.000860863191472441
0.14,45,0.0008575930085149402
0.14,46,0.0008543208753077897
0.14,47,0.000851046965046652
0.14,48,0.0008477714497261147
0.14,49,0.0008444945001291032
0.14,50,0.0008412162858166219
0.14,51,0.0008379369751178242
0.14,52,0.0008346567351204075
0.14,53,0.0008313757316613321
0.14,54,0.0008280941293178625
0.14,55,0.0008248120913989293
0.14,56,0.0008215297799368079
0.14,57,0.0008182473556791151
0.14,58,0.0008149649780811172
