day,alpha,prop_infected
87,0.56,0.0001364983189253117
88,0.56,0.00012005226375940949
89,0.56,0.00010558877743591303
90,0.56,9.286872136993665e-05
91,0.56,8.168181961527474e-05
92,0.56,7.184317333688067e-05
93,0.56,6.319019636627449e-05
94,0.56,5.5579920973196744e-05
95,0.56,4.8886629124888306e-05
96,0.56,4.299976990407226e-05
97,0.56,3.782212850622324e-05
98,0.56,3.326821641384564e-05
99,0.56,2.9262856018865592e-05
100,0.56,2.5739936194362554e-05
1,0.5800000000000001,0.001
2,0.5800000000000001,0.0015040988571428573
3,0.5800000000000001,0.0022494052358923776
4,0.5800000000000001,0.003351179440651748
5,0.5800000000000001,0.004978498150698476
6,0.5800000000000001,0.007377959665902611
7,0.5800000000000001,0.01090612839043691
8,0.5800000000000001,0.01607186604201027
9,0.5800000000000001,0.023587001434890943
10,0.5800000000000001,0.034416837595993656
11,0.5800000000000001,0.04980704898315344
12,0.5800000000000001,0.07123627004999313
13,0.5800000000000001,0.10020464004735383
14,0.5800000000000001,0.13773915154122868
15,0.5800000000000001,0.1835475155515856
16,0.5800000000000001,0.23500813967048462
17,0.5800000000000001,0.2866805231802061
18,0.5800000000000001,0.33132681960466914
19,0.5800000000000001,0.36261449648329663
20,0.5800000000000001,0.37778697634321423
21,0.5800000000000001,0.3780997673748309
22,0.5800000000000001,0.3670843581922263
23,0.5800000000000001,0.3485789480505831
24,0.5800000000000001,0.325723455655736
25,0.5800000000000001,0.30077602959503613
26,0.5800000000000001,0.27526197221018484
27,0.5800000000000001,0.2501736228529746
28,0.5800000000000001,0.2261331273637036
29,0.5800000000000001,0.20350906177264508
30,0.5800000000000001,0.1824972206270018
31,0.5800000000000001,0.16317646980027833
32,0.5800000000000001,0.14554761048548023
33,0.5800000000000001,0.129560579524002
34,0.5800000000000001,0.11513352598855993
35,0.5800000000000001,0.1021661567170418
36,0.5800000000000001,0.09054900297283726
37,0.5800000000000001,0.08016977024773189
38,0.5800000000000001,0.0709175995742711
39,0.5800000000000001,0.06268583616694254
40,0.5800000000000001,0.055373736253434794
41,0.5800000000000001,0.04888742450639991
42,0.5800000000000001,0.043140328735495705
43,0.5800000000000001,0.038053256094090195
44,0.5800000000000001,0.03355422949144964
45,0.5800000000000001,0.029578169575005593
46,0.5800000000000001,0.026066483256841206
47,0.5800000000000001,0.02296660191566336
48,0.5800000000000001,0.020231499371926046
49,0.5800000000000001,0.01781921023833548
50,0.5800000000000001,0.01569236235794003
51,0.5800000000000001,0.013817732071003605
52,0.5800000000000001,0.01216582749366721
53,0.5800000000000001,0.010710502472030974
54,0.5800000000000001,0.009428602118080037
55,0.5800000000000001,0.008299639634007169
56,0.5800000000000001,0.007305503337265054
57,0.5800000000000001,0.006430192297809764
58,0.5800000000000001,0.0056595787084107885
59,0.5800000000000001,0.004981194967274697
60,0.5800000000000001,0.004384043414401278
61,0.5800000000000001,0.003858426695940288
62,0.5800000000000001,0.0033957968101770188
63,0.5800000000000001,0.002988620997138507
64,0.5800000000000001,0.002630262758617465
65,0.5800000000000001,0.0023148764277595457
66,0.5800000000000001,0.0020373138410589202
67,0.5800000000000001,0.0017930417964541305
68,0.5800000000000001,0.0015780691064619869
69,0.5800000000000001,0.0013888821732377069
70,0.5800000000000001,0.0012223881221676378
71,0.5800000000000001,0.0010758646316858548
72,0.5800000000000001,0.0009469156894292987
73,0.5800000000000001,0.0008334325888313675
74,0.5800000000000001,0.0007335595561881431
75,0.5800000000000001,0.0006456634666014899
76,0.5800000000000001,0.0005683071685495361
77,0.5800000000000001,0.000500225991719108
78,0.5800000000000001,0.00044030706171669417
79,0.5800000000000001,0.00038757108889804595
80,0.5800000000000001,0.00034115633733875866
81,0.5800000000000001,0.000300304514394024
82,0.5800000000000001,0.00026434835181473926
83,0.5800000000000001,0.00023270067641239722
84,0.5800000000000001,0.00020484479217355143
85,0.5800000000000001,0.0001803260168580696
86,0.5800000000000001,0.00015874423478254824
