alpha,beta,total_ord_inf,total_mis_inf,total
0.7000000000000002,0.14999999999999997,0.1313262885642858,0.37229096941446077,0.5036172579787466
0.7500000000000002,0.14999999999999997,0.12251928395038657,0.38274608400960336,0.5052653679599899
0.8000000000000003,0.14999999999999997,0.11098423949291078,0.39294824675938156,0.5039324862522924
0.8500000000000003,0.14999999999999997,0.09584933347761071,0.4030029958898441,0.4988523293674548
0.9000000000000004,0.14999999999999997,0.07550879151855933,0.41299667378158034,0.48850546530013966
0.9500000000000004,0.14999999999999997,0.04660133147334489,0.42303537238607597,0.46963670385942086
1.0000000000000004,0.14999999999999997,0.0,0.43335707969589643,0.43335707969589643
0.5,0.15999999999999998,0.1734917077777633,0.36237871643633646,0.5358704242140997
0.55,0.15999999999999998,0.17003815739113268,0.3713212280221652,0.5413593854132979
0.6000000000000001,0.15999999999999998,0.1652970119638413,0.37996353132452027,0.5452605432883616
0.6500000000000001,0.15999999999999998,0.15910137506214406,0.3883789530625523,0.5474803281246964
0.7000000000000002,0.15999999999999998,0.1512006555025621,0.396637733348293,0.5478383888508551
0.7500000000000002,0.15999999999999998,0.14120594838727923,0.40479961536004705,0.5460055637473262
0.8000000000000003,0.15999999999999998,0.12849386163508295,0.4129123699628381,0.541406231597921
0.8500000000000003,0.15999999999999998,0.1120074969787621,0.42101653224377084,0.5330240292225329
0.9000000000000004,0.15999999999999998,0.0897633250452807,0.42915835375930506,0.5189216788045857
0.9500000000000004,0.15999999999999998,0.05728881104700751,0.43742399222581446,0.49471280327282197
1.0000000000000004,0.15999999999999998,0.0,0.44607913812881056,0.44607913812881056
0.5,0.16999999999999998,0.19620609672617506,0.38971974113595875,0.5859258378621338
0.55,0.16999999999999998,0.1915612579526079,0.39634594033047793,0.5879071982830858
0.6000000000000001,0.16999999999999998,0.18581997215718604,0.4029116480515507,0.5887316202087367
0.6500000000000001,0.16999999999999998,0.17877700575065877,0.4094399353431313,0.5882169410937901
0.7000000000000002,0.16999999999999998,0.17013782812253198,0.4159525459216294,0.5860903740441614
0.7500000000000002,0.16999999999999998,0.15946222922591582,0.42246897675367784,0.5819312059795937
0.8000000000000003,0.16999999999999998,0.14605633677072002,0.42900746299761,0.57506379976833
0.8500000000000003,0.16999999999999998,0.12873568452839132,0.4355886567053962,0.5643243412337875
0.9000000000000004,0.16999999999999998,0.10520024035035745,0.4422452806454389,0.5474455209957964
