day,variable_0,variable_1,prop_infected
24,0.7000000000000002,0.1,0.0015306186806310065
25,0.7000000000000002,0.1,0.0015680861950649629
26,0.7000000000000002,0.1,0.0016064020617325113
27,0.7000000000000002,0.1,0.0016455585567659529
28,0.7000000000000002,0.1,0.001685549256232007
29,0.7000000000000002,0.1,0.0017263687199087947
30,0.7000000000000002,0.1,0.001768012214824524
31,0.7000000000000002,0.1,0.0018104754725951173
32,0.7000000000000002,0.1,0.0018537544754899326
33,0.7000000000000002,0.1,0.0018978452669170234
34,0.7000000000000002,0.1,0.0019427437826711625
35,0.7000000000000002,0.1,0.001988445699845422
36,0.7000000000000002,0.1,0.002034946300784354
37,0.7000000000000002,0.1,0.002082240349865612
38,0.7000000000000002,0.1,0.0021303219812472624
39,0.7000000000000002,0.1,0.0021791845960187294
40,0.7000000000000002,0.1,0.0022288207674515293
41,0.7000000000000002,0.1,0.0022792221532680216
42,0.7000000000000002,0.1,0.002330379414037577
43,0.7000000000000002,0.1,0.002382282136974386
44,0.7000000000000002,0.1,0.0024349187645534196
45,0.7000000000000002,0.1,0.0024882765274840827
46,0.7000000000000002,0.1,0.002542341381687619
47,0.7000000000000002,0.1,0.0025970979490166656
48,0.7000000000000002,0.1,0.002652529461535492
49,0.7000000000000002,0.1,0.0027086177092490492
50,0.7000000000000002,0.1,0.002765342991229409
51,0.7000000000000002,0.1,0.0028226840701406205
52,0.7000000000000002,0.1,0.0028806181302084826
53,0.7000000000000002,0.1,0.0029391207387209723
54,0.7000000000000002,0.1,0.002998165811178791
55,0.7000000000000002,0.1,0.0030577255802442076
56,0.7000000000000002,0.1,0.003117770568660562
57,0.7000000000000002,0.1,0.003178269566334749
58,0.7000000000000002,0.1,0.003239189611791074
59,0.7000000000000002,0.1,0.0033004959782172317
60,0.7000000000000002,0.1,0.0033621521643319953
61,0.7000000000000002,0.1,0.0034241198903096357
62,0.7000000000000002,0.1,0.003486359098998243
63,0.7000000000000002,0.1,0.003548827962668008
64,0.7000000000000002,0.1,0.003611482895521281
65,0.7000000000000002,0.1,0.003674278572188788
66,0.7000000000000002,0.1,0.0037371679524259007
67,0.7000000000000002,0.1,0.0038001023122092624
68,0.7000000000000002,0.1,0.0038630312814174925
69,0.7000000000000002,0.1,0.00392590288826006
70,0.7000000000000002,0.1,0.0039886636105959375
71,0.7000000000000002,0.1,0.004051258434258231
72,0.7000000000000002,0.1,0.004113630918472864
73,0.7000000000000002,0.1,0.004175723268428571
74,0.7000000000000002,0.1,0.004237476415022151
75,0.7000000000000002,0.1,0.004298830101767236
76,0.7000000000000002,0.1,0.004359722978816987
77,0.7000000000000002,0.1,0.004420092704011312
78,0.7000000000000002,0.1,0.00447987605081769
79,0.7000000000000002,0.1,0.004539009022991697
80,0.7000000000000002,0.1,0.0045974269757392446
81,0.7000000000000002,0.1,0.0046550647431176165
82,0.7000000000000002,0.1,0.004711856771366987
83,0.7000000000000002,0.1,0.004767737257818653
84,0.7000000000000002,0.1,0.004822640294981013
85,0.7000000000000002,0.1,0.004876500019359907
86,0.7000000000000002,0.1,0.004929250764526568
87,0.7000000000000002,0.1,0.00498082721790475
88,0.7000000000000002,0.1,0.005031164580708795
89,0.7000000000000002,0.1,0.005080198730427185
90,0.7000000000000002,0.1,0.005127866385211653
91,0.7000000000000002,0.1,0.005174105269500852
92,0.7000000000000002,0.1,0.005218854280180112
93,0.7000000000000002,0.1,0.005262053652555528
94,0.7000000000000002,0.1,0.005303645125401623
95,0.7000000000000002,0.1,0.005343572104327695
96,0.7000000000000002,0.1,0.0053817798226987535
97,0.7000000000000002,0.1,0.005418215499343026
98,0.7000000000000002,0.1,0.0054528284922795225
99,0.7000000000000002,0.1,0.005485570447706194
100,0.7000000000000002,0.1,0.005516395443501908
1,0.7500000000000002,0.1,0.001
2,0.7500000000000002,0.1,0.0009998000000000001
3,0.7500000000000002,0.1,0.0010045381089880002
4,0.7500000000000002,0.1,0.0010137044433975988
5,0.7500000000000002,0.1,0.0010268632561265551
6,0.7500000000000002,0.1,0.001043642894248493
7,0.7500000000000002,0.1,0.0010637271155105672
8,0.7500000000000002,0.1,0.0010868475793213467
9,0.7500000000000002,0.1,0.001112777352573356
10,0.7500000000000002,0.1,0.001141325292044249
11,0.7500000000000002,0.1,0.0011723311836901904
12,0.7500000000000002,0.1,0.0012056615352475193
13,0.7500000000000002,0.1,0.0012412059325134673
14,0.7500000000000002,0.1,0.0012788738817639475
15,0.7500000000000002,0.1,0.001318592071231604
16,0.7500000000000002,0.1,0.001360301993624892
17,0.7500000000000002,0.1,0.0014039578795060235
18,0.7500000000000002,0.1,0.001449524898125134
19,0.7500000000000002,0.1,0.001496977588171787
20,0.7500000000000002,0.1,0.0015462984859762254
21,0.7500000000000002,0.1,0.001597476923078597
22,0.7500000000000002,0.1,0.001650507968877683
23,0.7500000000000002,0.1,0.0017053914973520021
24,0.7500000000000002,0.1,0.001762131359685443
25,0.7500000000000002,0.1,0.0018207346470873434
26,0.7500000000000002,0.1,0.001881211030225674
27,0.7500000000000002,0.1,0.001943572163537157
28,0.7500000000000002,0.1,0.0020078311442791224
29,0.7500000000000002,0.1,0.002074002017578792
30,0.7500000000000002,0.1,0.0021420993199459983
31,0.7500000000000002,0.1,0.0022121376547706672
32,0.7500000000000002,0.1,0.0022841312942488397
33,0.7500000000000002,0.1,0.0023580938029897467
34,0.7500000000000002,0.1,0.0024340376792680147
35,0.7500000000000002,0.1,0.002511974010513814
36,0.7500000000000002,0.1,0.0025919121401920078
37,0.7500000000000002,0.1,0.002673859343719773
38,0.7500000000000002,0.1,0.0027578205115199286
39,0.7500000000000002,0.1,0.0028437978377121183
40,0.7500000000000002,0.1,0.002931790513312855
41,0.7500000000000002,0.1,0.003021794423153833
42,0.7500000000000002,0.1,0.003113801846040691
43,0.7500000000000002,0.1,0.0032078011579655397
