recovery,day,prop_infected
4,57,0.01085234003815587
4,58,0.011153174824390972
4,59,0.011452264538142467
4,60,0.011748767547825053
4,61,0.012041810807875282
4,62,0.012330493925946515
4,63,0.012613893766924723
4,64,0.012891069574412597
4,65,0.013161068580025392
4,66,0.01342293206024353
4,67,0.013675701789923183
4,68,0.01391842683115252
4,69,0.014150170586253275
4,70,0.014370018034670385
4,71,0.014577083065571561
4,72,0.014770515811487273
4,73,0.01494950988352834
4,74,0.0151133094058559
4,75,0.01526121574633127
4,76,0.015392593841767731
4,77,0.015506878020002158
4,78,0.01560357722708958
4,79,0.01568227957621074
4,80,0.01574265614520945
4,81,0.015784463961810342
4,82,0.01580754812921205
4,83,0.01581184305955588
4,84,0.015797372798345064
4,85,0.015764250438817524
4,86,0.015712676641129023
4,87,0.015642937286561836
4,88,0.015555400311437904
4,89,0.0154505117786212
4,90,0.015328791256128179
4,91,0.015190826582172579
4,92,0.015037268103762939
4,93,0.014868822481629755
4,94,0.014686246157737105
4,95,0.014490338582952702
4,96,0.014281935301696599
4,97,0.01406190098770462
4,98,0.013831122520618456
4,99,0.01359050218717773
5,0,0.001
5,1,0.0010997
5,2,0.001209241215973
5,3,0.0013295743156479067
5,4,0.0014617374478592834
5,5,0.0016068633722239665
5,6,0.0017661869700928232
5,7,0.0019410531096694657
5,8,0.002132924823391748
5,9,0.0023433917373897077
5,10,0.002574178670460815
5,11,0.002827154292870105
5,12,0.003104339702659681
5,13,0.003407916738262566
5,14,0.0037402358002570748
5,15,0.004103822901273416
5,16,0.00450138560063271
5,17,0.004935817408641662
5,18,0.005410200164181885
5,19,0.005927803798259464
5,20,0.006492082795956269
5,21,0.007106668560890905
5,22,0.007775356771945976
5,23,0.008502088704989658
5,24,0.00929092537754446
5,25,0.010146013268736697
5,26,0.011071540279668415
5,27,0.012071680542614191
5,28,0.013150526676255568
5,29,0.014312008136874173
5,30,0.01555979445357215
5,31,0.016897182383484362
5,32,0.01832696640672381
5,33,0.01985129252678363
5,34,0.021471496074331606
5,35,0.023187925149023104
5,36,0.02499975248306492
5,37,0.02690477986392494
5,38,0.028899240781978183
5,39,0.030977608613976464
5,40,0.03313241932337525
5,41,0.035354119225195
5,42,0.03763094966120797
5,43,0.03994888126517731
5,44,0.04229161065416978
5,45,0.044640631650015625
5,46,0.04697539133535134
5,47,0.04927353826705331
5,48,0.05151126599285457
5,49,0.05366374976363246
5,50,0.05570566827599191
5,51,0.05761179584292227
5,52,0.05935764413036321
5,53,0.060920127150222714
5,54,0.062278219207063945
5,55,0.06341357351418675
5,56,0.06431106961009236
5,57,0.06495926065728355
5,58,0.06535069704439353
5,59,0.06548211000822615
5,60,0.06535444757744907
5,61,0.06497276419918477
5,62,0.0643459740906654
5,63,0.06348648588352337
5,64,0.0624097418938025
5,65,0.061133688988318925
5,66,0.0596782094187963
5,67,0.058064539292772555
5,68,0.056314699871682375
5,69,0.05445096308455412
5,70,0.052495368026066046
5,71,0.05046930026286153
5,72,0.048393140930865094
5,73,0.04628598820235659
5,74,0.0441654499601234
5,75,0.04204750355737423
5,76,0.039946416395527255
5,77,0.03787471967609198
5,78,0.03584322698784698
5,79,0.03386108925906019
5,80,0.0319358779093248
5,81,0.03007368865272357
5,82,0.028279259221763692
5,83,0.02655609520542262
5,84,0.02490659914956013
5,85,0.023332198997697163
5,86,0.021833472815761527
5,87,0.020410267521523938
5,88,0.019061810015554348
5,89,0.01778680968206076
5,90,0.01658355169782244
5,91,0.01544998096278232
5,92,0.014383776756462284
5,93,0.013382418441176613
5,94,0.012443242687259454
5,95,0.011563492797990921
5,96,0.010740360772558652
5,97,0.009971022773104661
5,98,0.00925266866437994
5,99,0.008582526278281134
6,0,0.001
6,1,0.0011330333333333332
6,2,0.0012836626634174443
6,3,0.00145418644349391
6,4,0.001647195146179365
6,5,0.0018656060254194089
6,6,0.0021127013414817364
6,7,0.0023921701906111465
6,8,0.0027081540155999852
6,9,0.0030652957786099035
6,10,0.0034687926446241015
6,11,0.003924451842577393
6,12,0.004438749129107395
6,13,0.0050188889623875976
6,14,0.005672865083809377
6,15,0.006409519684525251
6,16,0.00723859868175193
6,17,0.008170799825628492
6,18,0.009217809382275054
6,19,0.010392321978024734
6,20,0.01170803683819813
6,21,0.01317962212129386
6,22,0.01482263737025619
6,23,0.016653402346166725
6,24,0.018688798795308027
6,25,0.020945990212615853
6,26,0.02344204367009642
6,27,0.026193437642326158
6,28,0.029215440953054103
6,29,0.03252135105829785
6,30,0.03612158551567097
6,31,0.0400226293198101
6,32,0.04422585336198323
6,33,0.04872623588491374
6,34,0.053511039252669416
6,35,0.058558517698877405
6,36,0.06383675602083395
6,37,0.06930276135863696
6,38,0.07490194600425833
6,39,0.08056814357973928
6,40,0.08622428877360357
6,41,0.09178385804638756
6,42,0.09715311369061425
6,43,0.10223411858612681
6,44,0.10692840088906205
6,45,0.11114105830268724
6,46,0.11478501520623277
6,47,0.11778509780798349
6,48,0.1200815844556036
6,49,0.1216329255148236
6,50,0.12241740647417995
6,51,0.12243363740263857
6,52,0.12169987390181913
6,53,0.1202522897237981
6,54,0.11814241230228492
6,55,0.11543398859774892
6,56,0.1121995664623076
6,57,0.10851705981866927
6,58,0.10446652296379542
6,59,0.10012730118735162
6,60,0.09557566231116224
6,61,0.09088295531344237
6,62,0.0861142935722454
6,63,0.08132772415452327
6,64,0.07657382125926454
6,65,0.07189562999596247
6,66,0.06732888384905114
6,67,0.06290242288519665
6,68,0.05863874760730643
6,69,0.054554653351611776
6,70,0.05066190075447606
6,71,0.04696788804963862
6,72,0.04347630016498467
6,73,0.04018771745537686
6,74,0.03710017334344779
6,75,0.03420965519846884
6,76,0.031510546604023894
6,77,0.02899601192760095
6,78,0.026658325998322553
6,79,0.024489152902664596
6,80,0.022479778582550642
6,81,0.020621302202231715
6,82,0.01890479125198278
6,83,0.017321405167080257
6,84,0.015862491928775996
6,85,0.014519661731969514
6,86,0.013284841389937357
6,87,0.012150312726614125
6,88,0.011108737799702286
6,89,0.01015317341493264
6,90,0.009277077039865567
6,91,0.008474305907973453
6,92,0.007739110821182138
6,93,0.00706612591072628
6,94,0.006450355400187745
6,95,0.005887158228417703
6,96,0.005372231230867301
6,97,0.0049015914427566485
6,98,0.004471557973643312
6,99,0.004078733807606529
7,0,0.001
7,1,0.001156842857142857
7,2,0.001338181384381163
7,3,0.0015478061153746461
7,4,0.0017900822386639498
7,5,0.002070032682939596
7,6,0.00239343183599218
7,7,0.002766910772890732
7,8,0.003198074752883188
7,9,0.003695633533158673
7,10,0.004269544704608697
7,11,0.004931169733221664
7,12,0.00569344163132436
7,13,0.00657104211160256
7,14,0.007580584603761705
7,15,0.008740797532613288
7,16,0.010072699646703273
7,17,0.011599755819069298
7,18,0.013347997490137153
7,19,0.015346086684943125
7,20,0.01762529626859386
7,21,0.02021937187068975
7,22,0.02316423296075167
7,23,0.026497462425519935
7,24,0.030257526626448802
7,25,0.03448266279097914
7,26,0.039209369882984256
7,27,0.04447044573107604
7,28,0.0502925307947293
7,29,0.05669315155071515
7,30,0.06367730785940826
7,31,0.07123372117547037
7,32,0.07933095333879776
7,33,0.08791371295944507
7,34,0.09689977492434088
7,35,0.10617802685049442
7,36,0.1156081957302052
7,37,0.125022767146784
7,38,0.13423146249835333
7,39,0.1430283777828194
7,40,0.1512015296922444
7,41,0.158544153481963
7,42,0.16486673302883958
7,43,0.17000850756445476
7,44,0.17384716533579994
7,45,0.1763056308724798
7,46,0.17735524902302413
7,47,0.17701518099635252
7,48,0.17534834255467216
7,49,0.1724546263578871
7,50,0.16846239036719213
7,51,0.16351924427723982
7,52,0.15778305445659124
7,53,0.15141387141517254
7,54,0.14456722572741257
7,55,0.13738899172127148
7,56,0.1300118173017933
7,57,0.1225529775767007
7,58,0.11511342870703302
7,59,0.10777780658407335
7,60,0.10061511881174054
7,61,0.09367990455406199
7,62,0.08701367394870718
7,63,0.08064647892908505
7,64,0.0745985053075423
7,65,0.06888160907821148
7,66,0.06350074701094557
7,67,0.05845527271226716
7,68,0.053740085009446145
7,69,0.04934662662177662
7,70,0.0452637385291903
7,71,0.04147838008265636
7,72,0.03797622745700632
7,73,0.0347421641246002
7,74,0.03176067709800634
7,75,0.029016172108069272
7,76,0.026493219912219975
7,77,0.024176744753106005
7,78,0.022052164737976533
7,79,0.020105492669629594
7,80,0.01832340468321417
7,81,0.016693282960244537
7,82,0.015203237816609483
7,83,0.013842113599399256
7,84,0.01259948207550564
7,85,0.011465626346547039
7,86,0.010431517770854735
7,87,0.009488787904167852
7,88,0.00862969707630534
7,89,0.007847100891760314
7,90,0.007134415668910307
7,91,0.006485583607198249
7,92,0.005895038286939618
7,93,0.005357670955958494
7,94,0.004868797935493846
7,95,0.004424129379964334
7,96,0.004019739547149142
7,97,0.003652038673666188
7,98,0.00331774650238177
7,99,0.00301386747111114
8,0,0.001
8,1,0.0011746999999999999
8,2,0.0013798144727229999
8,3,0.0016205983134607654
8,4,0.0019031991001423343
8,5,0.0022348029449978904
8,6,0.0026238019584022857
8,7,0.003079985658772614
8,8,0.003614758548090761
8,9,0.004241385757329913
8,10,0.004975268056610416
8,11,0.005834246496138996
8,12,0.006838935330818505
8,13,0.008013079470578284
8,14,0.009383929221168081
8,15,0.010982620208072473
8,16,0.012844539724980345
8,17,0.015009651894975684
8,18,0.017522742557362296
8,19,0.02043353035862112
8,20,0.023796573014910945
8,21,0.027670877444251687
8,22,0.03211910051113308
8,23,0.037206205740940836
8,24,0.04299742451384441
8,25,0.04955536416692663
8,26,0.05693611901153023
8,27,0.06518428500083215
8,28,0.07432686773303576
8,29,0.08436621871417338
8,30,0.09527234265950671
8,31,0.10697518267611093
8,32,0.11935778299380678
8,33,0.13225149516160056
8,34,0.14543454954487786
8,35,0.15863525915569837
8,36,0.17154076860556652
8,37,0.1838115726186578
8,38,0.1951010685700974
8,39,0.2050783558125198
8,40,0.21345162181024552
8,41,0.21998904215991655
8,42,0.22453434881114542
8,43,0.22701507902591817
8,44,0.22744279261378386
8,45,0.22590589255184065
8,46,0.22255676120958412
8,47,0.21759551027879592
8,48,0.2112526939793034
8,49,0.20377296276292572
8,50,0.1954010286715684
8,51,0.18637066339911493
8,52,0.17689689247203957
8,53,0.1671711508056999
8,54,0.15735893458290293
8,55,0.14759939427055635
8,56,0.13800632182404565
8,57,0.1286700508966306
8,58,0.11965987990850474
8,59,0.11102672237938452
8,60,0.10280577451456084
8,61,0.09501906104126537
8,62,0.0876777755109515
8,63,0.08078437195054473
8,64,0.07433439318943358
8,65,0.06831803999818326
8,66,0.06272149675713483
8,67,0.05752803576124014
8,68,0.05271892507407417
8,69,0.048274165289969063
8,70,0.04417307953913213
8,71,0.040394779204409516
8,72,0.03691852553833091
8,73,0.03372400495671889
8,74,0.030791533417113603
8,75,0.028102203070273946
8,76,0.02563798235544204
8,77,0.023381778916883027
8,78,0.021317473151968396
8,79,0.019429928849059974
8,80,0.017704986219278185
8,81,0.016129441649445797
8,82,0.014691017682873729
8,83,0.0133783260496301
8,84,0.012180825999375106
8,85,0.011088779720446433
8,86,0.010093206243300857
8,87,0.009185834911257056
8,88,0.008359059245172957
8,89,0.007605891821329302
8,90,0.006919920614972433
8,91,0.006295267128597039
8,92,0.0057265465181637705
8,93,0.005208829847064201
8,94,0.004737608532616596
8,95,0.004308760999755978
8,96,0.003918521518521809
8,97,0.003563451173596447
8,98,0.0032404108935750065
8,99,0.0029465364532681856
9,0,0.001
9,1,0.001188588888888889
9,2,0.0014126366807631235
9,3,0.0016787663350471549
9,4,0.00199481964531427
9,5,0.002370074032306924
9,6,0.002815494779513382
9,7,0.003344027185998558
9,8,0.0039709330818739254
9,9,0.004714175785206636
9,10,0.0055948566942363815
9,11,0.006637705054446122
9,12,0.007871619675254118
