day,lambda,value,group
59,1.2,0.037049434176257265,misinformed
60,1.2,0.0336904398594719,misinformed
61,1.2,0.030592960408650886,misinformed
62,1.2,0.02774576586388969,misinformed
63,1.2,0.02513591991266738,misinformed
64,1.2,0.022749452397201237,misinformed
65,1.2,0.020571884991229986,misinformed
66,1.2,0.018588634303664777,misinformed
67,1.2,0.016785314222205826,misinformed
68,1.2,0.01514795655345829,misinformed
69,1.2,0.013663166252104217,misinformed
70,1.2,0.012318224934902927,misinformed
71,1.2,0.011101154034461179,misinformed
72,1.2,0.010000746897110762,misinformed
73,1.2,0.00900657737013983,misinformed
74,1.2,0.008108990938668402,misinformed
75,1.2,0.007299083234871118,misinformed
76,1.2,0.006568669721674842,misinformed
77,1.2,0.0059102495190189765,misinformed
78,1.2,0.005316965664610972,misinformed
79,1.2,0.004782563556980183,misinformed
80,1.2,0.0043013488938293465,misinformed
81,1.2,0.0038681460736687927,misinformed
82,1.2,0.003478257756930115,misinformed
83,1.2,0.003127426070311393,misinformed
84,1.2,0.002811795773477669,misinformed
85,1.2,0.0025278795809286683,misinformed
86,1.2,0.002272525736072438,misinformed
87,1.2,0.002042887862975377,misinformed
88,1.2,0.001836397068764897,misinformed
89,1.2,0.0016507362321026358,misinformed
90,1.2,0.0014838163872011659,misinformed
91,1.2,0.0013337550958689782,misinformed
92,1.2,0.0011988566899224574,misinformed
93,1.2,0.0010775942613236496,misinformed
94,1.2,0.0009685932762670039,misinformed
95,1.2,0.0008706166911098591,misinformed
96,1.2,0.0007825514517113467,misinformed
97,1.2,0.000703396262785895,misinformed
98,1.2,0.0006322505198090318,misinformed
99,1.2,0.0005683043024679945,misinformed
100,1.2,0.0005108293353518922,misinformed
1,1.4,0.001,misinformed
2,1.4,0.001066722857142857,misinformed
3,1.4,0.0011692275536249325,misinformed
4,1.4,0.001312137631952653,misinformed
5,1.4,0.001501477854438882,misinformed
6,1.4,0.0017448963654697093,misinformed
7,1.4,0.0020519347478343154,misinformed
8,1.4,0.0024343507789554145,misinformed
9,1.4,0.002906497967864343,misinformed
10,1.4,0.003485764207753175,misinformed
11,1.4,0.004193068568924141,misinformed
12,1.4,0.005053409623295128,misinformed
13,1.4,0.006096449705081044,misinformed
14,1.4,0.0073571058338960825,misinformed
15,1.4,0.008876098009915387,misinformed
16,1.4,0.010700377381432218,misinformed
17,1.4,0.01288331860922633,misinformed
18,1.4,0.015484511536174847,misinformed
19,1.4,0.01856892778794738,misinformed
20,1.4,0.022205172696186874,misinformed
21,1.4,0.026462472999754613,misinformed
22,1.4,0.03140601728112743,misinformed
23,1.4,0.03709029371760568,misinformed
24,1.4,0.04355020787947545,misinformed
25,1.4,0.050790070920453984,misinformed
26,1.4,0.05877107651653887,misinformed
27,1.4,0.06739864085061827,misinformed
28,1.4,0.07651187533309797,misinformed
29,1.4,0.0858782591540681,misinformed
30,1.4,0.0951968801646558,misinformed
31,1.4,0.1041129490078212,misinformed
32,1.4,0.1122443521393134,misinformed
33,1.4,0.11921795639066954,misinformed
34,1.4,0.12471005044230317,misinformed
35,1.4,0.1284830581685455,misinformed
36,1.4,0.13041072030286976,misinformed
37,1.4,0.13048664226269835,misinformed
38,1.4,0.12881550268199898,misinformed
39,1.4,0.1255905349373059,misinformed
40,1.4,0.12106352406621101,misinformed
41,1.4,0.1155138814892882,misinformed
42,1.4,0.10922184049118511,misinformed
43,1.4,0.10244849846454142,misinformed
44,1.4,0.09542328203883435,misinformed
45,1.4,0.08833795327108683,misinformed
46,1.4,0.08134558790115656,misinformed
47,1.4,0.07456285705443293,misinformed
48,1.4,0.06807417859220972,misinformed
49,1.4,0.06193666451447984,misinformed
50,1.4,0.05618514672800529,misinformed
51,1.4,0.05083685488974563,misinformed
52,1.4,0.045895531822740296,misinformed
53,1.4,0.041354912049127376,misinformed
54,1.4,0.03720157341088322,misinformed
55,1.4,0.03341721706323941,misinformed
56,1.4,0.029980450982479246,misinformed
57,1.4,0.026868156594851308,misinformed
58,1.4,0.024056514072038255,misinformed
59,1.4,0.02152175365017707,misinformed
60,1.4,0.019240690670316665,misinformed
61,1.4,0.017191092406539626,misinformed
62,1.4,0.01535191590965931,misinformed
63,1.4,0.013703448374184768,misinformed
64,1.4,0.012227375007240334,misinformed
65,1.4,0.010906793980290277,misinformed
66,1.4,0.009726193655869114,misinformed
67,1.4,0.00867140375909188,misinformed
68,1.4,0.00772952936576928,misinformed
69,1.4,0.006888874375888066,misinformed
70,1.4,0.00613885942002331,misinformed
71,1.4,0.0054699378113175845,misinformed
72,1.4,0.004873512127776655,misinformed
73,1.4,0.0043418532241303156,misinformed
74,1.4,0.0038680228771924017,misinformed
75,1.4,0.0034458008217467502,misinformed
76,1.4,0.003069616602272103,misinformed
77,1.4,0.0027344864230405314,misinformed
78,1.4,0.0024359550046208138,misinformed
79,1.4,0.0021700423324037318,misinformed
80,1.4,0.0019331950998094818,misinformed
81,1.4,0.0017222425955205538,misinformed
82,1.4,0.0015343567528061275,misinformed
83,1.4,0.0013670160639079143,misinformed
84,1.4,0.001217973059048386,misinformed
85,1.4,0.0010852250544718,misinformed
86,1.4,0.0009669878844371604,misinformed
87,1.4,0.0008616723462948519,misinformed
88,1.4,0.000767863104237741,misinformed
89,1.4,0.000684299814949493,misinformed
90,1.4,0.0006098602563985847,misinformed
91,1.4,0.0005435452588918109,misinformed
92,1.4,0.00048446525482244424,misinformed
93,1.4,0.000431828280070749,misinformed
94,1.4,0.0003849292755794967,misinformed
95,1.4,0.0003431405521467847,misinformed
96,1.4,0.00030590329491687,misinformed
97,1.4,0.0002727199964080318,misinformed
98,1.4,0.00024314771822165308,misinformed
99,1.4,0.00021679209187317364,misinformed
100,1.4,0.00019330197852879965,misinformed
1,1.6,0.001,misinformed
2,1.6,0.0010966628571428571,misinformed
3,1.6,0.001238454093906714,misinformed
4,1.6,0.001433337419707661,misinformed
5,1.6,0.0016916116042912698,misinformed
6,1.6,0.0020263856920747633,misinformed
7,1.6,0.002454159113734454,misinformed
8,1.6,0.002995519838530937,misinformed
9,1.6,0.003675971166370426,misinformed
10,1.6,0.004526891622888359,misinformed
11,1.6,0.005586620520898906,misinformed
12,1.6,0.00690164095548622,misinformed
13,1.6,0.008527797986956853,misinformed
14,1.6,0.01053143692171082,misinformed
15,1.6,0.012990268281255601,misinformed
16,1.6,0.01599365565945195,misinformed
17,1.6,0.019641876313998188,misinformed
18,1.6,0.024043726146662003,misinformed
19,1.6,0.02931165209852219,misinformed
20,1.6,0.035553448486899224,misinformed
21,1.6,0.042859549997102134,misinformed
22,1.6,0.05128525366800711,misinformed
23,1.6,0.06082801574490425,misinformed
24,1.6,0.07140149286624846,misinformed
25,1.6,0.08281026073455133,misinformed
26,1.6,0.09473176995285758,misinformed
27,1.6,0.10671407198201888,misinformed
28,1.6,0.11819754865479003,misinformed
29,1.6,0.1285647245439923,misinformed
30,1.6,0.137214002510295,misinformed
31,1.6,0.1436432424105619,misinformed
32,1.6,0.1475223372805572,misinformed
33,1.6,0.14873498225716789,misinformed
34,1.6,0.14737946290448098,misinformed
35,1.6,0.1437320192216389,misinformed
36,1.6,0.13818722663281613,misinformed
37,1.6,0.13119331003953183,misinformed
38,1.6,0.12319668688448797,misinformed
39,1.6,0.11460303738577385,misinformed
40,1.6,0.10575571351022421,misinformed
41,1.6,0.09692833047916696,misinformed
42,1.6,0.0883270078693637,misinformed
43,1.6,0.08009804861932593,misinformed
44,1.6,0.0723378936167017,misinformed
45,1.6,0.06510332023341822,misinformed
46,1.6,0.058420767041923165,misinformed
47,1.6,0.05229429491570505,misinformed
48,1.6,0.0467120754730808,misinformed
49,1.6,0.041651500881732875,misinformed
50,1.6,0.037083098738913786,misinformed
51,1.6,0.032973459958129704,misinformed
52,1.6,0.029287377858166666,misinformed
53,1.6,0.025989371970799906,misinformed
54,1.6,0.023044741034326573,misinformed
55,1.6,0.020420261579938627,misinformed
56,1.6,0.01808462378934992,misinformed
57,1.6,0.01600867561560882,misinformed
58,1.6,0.014165529413075206,misinformed
59,1.6,0.012530572063295036,misinformed
60,1.6,0.011081409248618545,misinformed
61,1.6,0.009797766563598001,misinformed
62,1.6,0.008661364076694433,misinformed
63,1.6,0.007655776351244708,misinformed
64,1.6,0.006766286471659654,misinformed
